Domain,MX Records Exist?,MX Provider,MX (Lowest Preference),SPF Record Exists?,SPF Record,SPF Mechanism (Mode),DMARC Record Exists?,DMARC Record,DMARC Domain Policy (Mode),DMARC Subdomain Policy (Mode),O365 Exchange Online?,O365 Tenant Name,O365 DKIM Enabled?,O365 Federated?,O365 Federation Provider,O365 Federation Hostname,O365 Federation Brand Name,O365/AzureAD Directory ID,O365/AzureAD is Unmanaged?,MTA-STS Record Exists?,MTA-STS Policy Mode,MTA-STS Allowed MX Hosts,DNS Registrar,DNS Host,DNSSEC DNSKEY Record Exists?
5ballov.ru,True,Other/Undetermined,mx.yandex.net,True,v=spf1 redirect=_spf.yandex.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,noc.qip.ru,"ns2.qip.ru,ns1.qip.ru",False
abv.bg,True,Other/Undetermined,pmx.abv.bg,True,v=spf1 ip4:194.153.145.0/24 ip4:87.120.176.0/26 ~all,SOFTFAIL,True,v=DMARC1; p=none; rua=mailto:dmarc-rua@abv.bg,NONE,,No,N/A,N/A,False,N/A,N/A,abv.bg,3d327d89-77b2-42c7-8410-42b84b60322f,True,False,,,admin.netinfo.bg,"ns.netinfo.bg,ns2.netinfo.bg",False
adresik.net,True,Other/Undetermined,mx.interia.pl,True,v=spf1 include:interia.pl -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,adresik.net,679f1573-1ae4-4784-bcb7-1412fa21bdc8,True,False,,,hostmaster.hub.interia.pl,"dns2.interia.pl,dns3.interia.pl,dns1.interia.pl",False
aeterna.ru,True,Other/Undetermined,mx.yandex.net,True,v=spf1 redirect=_spf.yandex.net,Other/Undetermined,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,noc.admns.ru,"ns2.qip.ru,ns1.qip.ru",False
aol.co.uk,True,Other/Undetermined,mx-aol.mail.gm0.yahoodns.net,True,v=spf1 include:aol.com ?all,NEUTRAL,True,v=DMARC1; p=quarantine; fo=1; pct=100; rua=mailto:aol@rua.agari.com; ruf=mailto:aol@ruf.agari.com,QUARANTINE,,No,N/A,N/A,False,N/A,N/A,aol.co.uk,e24d872c-897c-498c-a0e9-3e372e317212,True,False,,,hostmaster.yahoo-inc.com,"ns5.yahoo.com,ns1.yahoo.com,ns2.yahoo.com,ns3.yahoo.com,ns4.yahoo.com",False
aol.com,True,Other/Undetermined,mx-aol.mail.gm0.yahoodns.net,True,v=spf1 ip4:204.29.186.0/23 include:spf.constantcontact.com include:aspmx.sailthru.com include:mail.zendesk.com include:_ipspf.yahoo.com ~all,SOFTFAIL,True,v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;,REJECT,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.yahoo-inc.com,"ns4.yahoo.com,ns5.yahoo.com,ns1.yahoo.com,ns2.yahoo.com,ns3.yahoo.com",False
aol.de,True,Other/Undetermined,mx-aol.mail.gm0.yahoodns.net,True,v=spf1 include:aol.com ?all,NEUTRAL,True,v=DMARC1; p=quarantine; fo=1; pct=100; rua=mailto:aol@rua.agari.com; ruf=mailto:aol@ruf.agari.com,QUARANTINE,,No,N/A,N/A,False,N/A,N/A,,,False,False,,,hostmaster.yahoo-inc.com,"ns1.yahoo.com,ns2.yahoo.com,ns3.yahoo.com,ns4.yahoo.com,ns5.yahoo.com",False
aol.fr,True,Other/Undetermined,mx-aol.mail.gm0.yahoodns.net,True,v=spf1 include:_ipspf.yahoo.com ip4:204.29.186.0/23 ?all,NEUTRAL,True,v=DMARC1; p=quarantine; fo=1; pct=100; rua=mailto:aol@rua.agari.com; ruf=mailto:aol@ruf.agari.com,QUARANTINE,,No,N/A,N/A,False,N/A,N/A,aol.fr,0ea9ee63-77cc-4a1f-b942-9ecb569a0d3b,True,False,,,hostmaster.yahoo-inc.com,"ns3.yahoo.com,ns4.yahoo.com,ns5.yahoo.com,ns1.yahoo.com,ns2.yahoo.com",False
aon.at,True,Other/Undetermined,mx10.aon.at,True,v=spf1 ip4:195.3.96.64/26 ip4:213.33.98.151 ip4:213.33.98.152 ip4:213.33.98.153 ip4:213.33.98.154 ip4:213.33.87.0/27 ip4:195.3.86.186 ip4:195.3.86.187 ip4:193.187.235.26 ~all,SOFTFAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,,,False,False,,,domainadmin.a1.net,"dns2.a1.net,dns3.a1.net,dns1.a1.net",False
arcor.de,True,Other/Undetermined,mx002.vodafonemail.xion.oxcs.net,True,v=spf1 include:spf.xion.oxcs.net ip4:151.189.0.0/23 ip4:151.189.8.0/24 ip4:151.189.13.0/24 ip4:151.189.20.0/23 ip4:145.253.32.0/24 ip4:145.253.2.0/23 ip4:145.253.112.0/27 -all,FAIL,False,N/A,N/A,N/A,No,N/A,N/A,False,N/A,N/A,arcor.de,7be345ab-e6c6-4d3d-af9a-7117fec89332,True,False,,,hostmaster.adm.arcor.net,"ns3.arcor-ip.de,ns1.arcor-ip.de,ns2.arcor-ip.de",False
